id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
109,60,RL,52.8,13517,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,725.0,GasA,Ex,Y,SBrkr,0,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,None,Attchd,1976,RFn,475.0,TA,TA,Y,0,44,0,0,0,None,None,None,0,3,2010,WD ,130500
544,60,RL,43.0,11492,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,913.0,GasA,Ex,Y,SBrkr,0,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1997,RFn,559.0,TA,TA,Y,0,74,0,0,0,None,None,None,0,4,2009,WD ,220000
153,20,RL,68.0,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057.0,GasA,TA,Y,SBrkr,0,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,None,Detchd,1953,Unf,246.0,TA,TA,Y,0,52,0,0,0,None,None,None,0,1,2010,WD ,109000
318,60,RL,73.0,9802,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,384.0,GasA,Gd,Y,SBrkr,0,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,None,BuiltIn,2007,Fin,400.0,TA,TA,Y,100,0,0,0,0,None,None,None,0,4,2010,WD ,174000
255,50,RL,82.0,14235,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,Unf,676.0,GasA,TA,Y,SBrkr,0,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,None,Detchd,1957,Unf,484.0,TA,TA,N,0,59,0,0,0,None,None,None,0,3,2010,WD ,138500
138,20,RL,137.0,16492,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,1517.0,GasA,Ex,Y,SBrkr,0,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966,Fin,578.0,TA,TA,Y,0,0,0,0,0,None,None,None,0,6,2010,WD ,190000
2827,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,547.0,GasA,Gd,Y,SBrkr,0,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,None,Basment,2005,Fin,525.0,TA,TA,Y,0,44,0,0,0,None,None,None,0,6,2006,New,140000
145,20,RL,69.4,12160,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1188.0,GasA,Fa,Y,SBrkr,0,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,1959,RFn,531.0,TA,TA,Y,0,0,0,0,0,None,MnPrv,None,0,5,2010,COD,142000
1942,20,RL,72.6,15783,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,924.0,GasA,TA,Y,SBrkr,0,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,None,Detchd,1952,Unf,420.0,TA,TA,Y,0,324,0,0,0,None,MnPrv,Shed,400,6,2007,WD ,112500
1956,60,RL,70.0,11606,Pave,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,Unf,1040.0,GasA,TA,Y,SBrkr,0,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1969,Unf,504.0,TA,TA,Y,335,0,0,0,0,None,None,None,0,9,2007,WD ,135000
